method,mechanism,rate,incidents,incidents_with_evidence,evidence_mask_fraction,mrr_unconditional,mrr_conditional,hit1_unconditional,hit1_conditional,normalized_rank_unconditional,normalized_rank_conditional,worst_rank_fraction
qarca_no_incident_train,point,0.5,375,375,1.0,0.8929642512399033,0.8929642512399033,0.8354666666666667,0.8354666666666667,0.023814229249011856,0.023814229249011856,0.009333333333333334
qarca_no_incident_train,stream,0.1,375,375,1.0,0.8845065749150915,0.8845065749150915,0.8234666666666667,0.8234666666666667,0.02590408432147562,0.02590408432147562,0.010133333333333333
qarca_no_incident_train,stream,0.3,375,375,0.9989333333333333,0.8609924993491376,0.8618150807183856,0.7877333333333333,0.7885629629629629,0.03279350739483011,0.03196387776520048,0.008
qarca_no_incident_train,stream,0.5,375,375,0.9893333333333333,0.8229906556728526,0.8307750095083175,0.7376,0.7454116402116403,0.050809496348381826,0.04247482988920557,0.005066666666666666
qarca_no_quality,burst,0.1,375,375,1.0,0.8931186317925703,0.8931186317925703,0.8408,0.8408,0.026336020047017485,0.026336020047017485,0.010666666666666666
qarca_no_quality,burst,0.3,375,375,1.0,0.888934089462633,0.888934089462633,0.832,0.832,0.026388581466842333,0.026388581466842333,0.010133333333333333
qarca_no_quality,burst,0.5,375,375,1.0,0.7265941203531068,0.7265941203531068,0.5778666666666666,0.5778666666666666,0.048305256188364135,0.048305256188364135,0.011733333333333333
qarca_no_quality,incident,0.1,375,375,1.0,0.6879034207004328,0.6879034207004328,0.5933333333333334,0.5933333333333334,0.06303623299745773,0.06303623299745773,0.0
qarca_no_quality,incident,0.3,375,375,1.0,0.36754761777346917,0.36754761777346917,0.1869333333333333,0.1869333333333333,0.15837899255122118,0.15837899255122118,0.0
qarca_no_quality,incident,0.5,375,375,1.0,0.32139362961229107,0.32139362961229107,0.1312,0.1312,0.18467684941117019,0.18467684941117019,0.0
qarca_no_quality,none,0.0,375,375,1.0,0.8968890983412722,0.8968890983412722,0.8453333333333334,0.8453333333333334,0.02611857707509881,0.02611857707509881,0.010666666666666666
qarca_no_quality,point,0.1,375,375,1.0,0.8981666996052161,0.8981666996052161,0.8477333333333332,0.8477333333333332,0.025610540184453225,0.025610540184453225,0.0104
qarca_no_quality,point,0.3,375,375,1.0,0.8990901697497349,0.8990901697497349,0.8490666666666666,0.8490666666666666,0.02538533157663592,0.02538533157663592,0.010133333333333333
qarca_no_quality,point,0.5,375,375,1.0,0.9008142735052199,0.9008142735052199,0.8525333333333333,0.8525333333333333,0.024607905138339915,0.024607905138339915,0.009333333333333334
qarca_no_quality,stream,0.1,375,375,1.0,0.8859520540195758,0.8859520540195758,0.8296000000000001,0.8296000000000001,0.028712758942765062,0.028712758942765062,0.010133333333333333
qarca_no_quality,stream,0.3,375,375,0.9989333333333333,0.8578517826322483,0.8585349925087915,0.7874666666666666,0.7881185185185184,0.03774491210873185,0.03709306025688,0.008
qarca_no_quality,stream,0.5,375,375,0.9893333333333333,0.8163441357867525,0.823979058559453,0.736,0.7439566137566138,0.05543100678340187,0.04855405896723837,0.0048000000000000004
qarca_no_quality_original,burst,0.1,375,375,1.0,0.8707984066582276,0.8707984066582276,0.8058666666666666,0.8058666666666666,0.027356449404531243,0.027356449404531243,0.010666666666666666
qarca_no_quality_original,burst,0.3,375,375,1.0,0.8621617177581047,0.8621617177581047,0.7893333333333333,0.7893333333333333,0.027958331137461566,0.027958331137461566,0.010133333333333333
qarca_no_quality_original,burst,0.5,375,375,1.0,0.5932222023924597,0.5932222023924597,0.40240000000000004,0.40240000000000004,0.06788139047373223,0.06788139047373223,0.011733333333333333
qarca_no_quality_original,incident,0.1,375,375,1.0,0.709767786734526,0.709767786734526,0.6093333333333333,0.6093333333333333,0.05649163057395756,0.05649163057395756,0.0
