mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
incident,0.3,qarca_no_quality_original,375,0.327293767026235,0.3015009517472144,0.33653333333333335,0.1704,0.3352,0.512,0.19897722900548012,551.2236503988349,0.299999954555718,0.015569442199768633
incident,0.3,qarca_original_train,375,0.1209590739798471,0.15518113926267588,0.06944,0.024266666666666666,0.0656,0.12426666666666666,0.5277465351917713,551.5038280529436,0.299999954555718,0.008013519573464502
incident,0.3,qarca_quality_only,375,0.7624004501543974,0.32691220896665424,0.8159466666666667,0.6472,0.8498666666666667,0.9082666666666668,0.039492275038019053,550.9369606125324,0.299999954555718,0.016881673879996412
incident,0.3,qarca_structural_only,375,0.2296610155639241,0.25747190120178276,0.23626666666666665,0.08,0.2613333333333333,0.4053333333333333,0.35204059334475385,550.7933845319629,0.299999954555718,0.013295791806278214
incident,0.5,baro,375,0.15164585204418657,0.16389489345845798,0.11893333333333334,0.037333333333333336,0.11493333333333333,0.204,0.4981055109482731,380.8218873597992,0.5000000599789933,0.008463495905240622
incident,0.5,median_shift,375,0.18564143968859556,0.18983382612145738,0.15845333333333333,0.06586666666666667,0.15893333333333334,0.25066666666666665,0.3949511462173902,113.04741386699801,0.5000000599789933,0.009802976628203185
incident,0.5,nsigma,375,0.1568802536504819,0.1869909690135235,0.13136,0.046933333333333334,0.13093333333333335,0.2149333333333333,0.5163235567277641,322.13796920006473,0.5000000599789933,0.009656172118407516
incident,0.5,qarca,375,0.7613155712091294,0.3083216257964701,0.8179733333333333,0.6469333333333334,0.8463999999999999,0.924,0.038542113851311635,562.0451731739411,0.5000000599789933,0.01592166029313765
incident,0.5,qarca_no_incident_train,375,0.3542435632425392,0.26938661568554645,0.3877866666666666,0.16986666666666667,0.39813333333333334,0.5864,0.1729422636603977,561.6533074139618,0.5000000599789933,0.013911065016550655
incident,0.5,qarca_no_quality,375,0.32139362961229107,0.25016661164415943,0.36016,0.1312,0.3725333333333333,0.5613333333333334,0.18467684941117019,561.4925479999123,0.5000000599789933,0.01291854827566624
incident,0.5,qarca_no_quality_original,375,0.27404194883480687,0.23912449055512472,0.2865066666666667,0.10479999999999999,0.28159999999999996,0.47919999999999996,0.2287520848181112,561.4536047733078,0.5000000599789933,0.012348335594537744
incident,0.5,qarca_original_train,375,0.13487722236093205,0.15086940435535368,0.09157333333333334,0.024533333333333338,0.08773333333333333,0.17013333333333333,0.4833902023094876,561.6974652264112,0.5000000599789933,0.007790862540273567
incident,0.5,qarca_quality_only,375,0.757619716496345,0.323575969084597,0.8117333333333333,0.644,0.8453333333333334,0.9053333333333333,0.04298368222510291,561.186455332938,0.5000000599789933,0.016709391193300935
incident,0.5,qarca_structural_only,375,0.2296610155639241,0.25747190120178276,0.23626666666666665,0.08,0.2613333333333333,0.4053333333333333,0.35204059334475385,561.0093149598532,0.5000000599789933,0.013295791806278214
