system,mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
OB,none,0.0,qarca_quality_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,54.47436959948391,0.0,0.01626035484806362
OB,none,0.0,qarca_structural_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,54.35257280012593,0.0,0.01626035484806362
OB,point,0.1,baro,125,0.85156,0.26682872629390414,0.9056000000000001,0.752,0.928,0.984,0.03933333333333333,71.81176687916741,0.10000016523843418,0.023865886813714206
OB,point,0.1,median_shift,125,0.7156266666666666,0.30123942477608506,0.83408,0.5144,0.9047999999999999,0.984,0.06908205128205126,13.560367120290175,0.10000016523843418,0.026943673252090423
OB,point,0.1,nsigma,125,0.8524533333333334,0.274460416873012,0.8996799999999999,0.7664,0.936,0.9776,0.04179999999999999,59.45754423928447,0.10000016523843418,0.0245484859704394
OB,point,0.1,qarca,125,0.8905599999999999,0.24258113448913507,0.92464,0.8264,0.9312,0.9896,0.0314,54.328640080895276,0.10000016523843418,0.02169711627106899
OB,point,0.1,qarca_no_incident_train,125,0.8899866666666667,0.24283924797779896,0.92496,0.824,0.9312,0.992,0.031266666666666665,54.09208279945888,0.10000016523843418,0.021720202643331472
OB,point,0.1,qarca_no_quality,125,0.8830666666666667,0.24380389763453758,0.92544,0.8104,0.9408,0.9992000000000001,0.031066666666666663,53.90470224088058,0.10000016523843418,0.021806483531609046
OB,point,0.1,qarca_no_quality_original,125,0.892,0.24173247157471425,0.92656,0.8272,0.928,0.992,0.030599999999999995,53.89562167921103,0.10000016523843418,0.021621209552403868
OB,point,0.1,qarca_original_train,125,0.8904342857142857,0.2431377893795767,0.92576,0.8264,0.9376,0.992,0.030999999999999993,54.12689952100627,0.10000016523843418,0.021746904998070395
OB,point,0.1,qarca_quality_only,125,0.25292603174603173,0.18210582548486923,0.25376000000000004,0.0568,0.24880000000000002,0.4688,0.3977562594268476,53.6740129600279,0.10000016523843418,0.016288040195315247
OB,point,0.1,qarca_structural_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,53.54529711902141,0.10000016523843418,0.01626035484806362
OB,point,0.3,baro,125,0.8517733333333333,0.2644783992236681,0.90528,0.752,0.9256,0.984,0.039466666666666664,71.80154088078999,0.29999978859677606,0.023655667169777978
OB,point,0.3,median_shift,125,0.71536,0.2967505155156117,0.83488,0.5136000000000001,0.9112,0.9863999999999999,0.06874871794871794,13.348702559247613,0.29999978859677606,0.026542173002040554
OB,point,0.3,nsigma,125,0.85464,0.2727767398822497,0.90128,0.7696000000000001,0.936,0.9792000000000001,0.04113333333333333,59.543915518652646,0.29999978859677606,0.02439789332229953
OB,point,0.3,qarca,125,0.8904133333333333,0.24039372349108204,0.92496,0.8248,0.9296,0.9904,0.031266666666666665,53.32307831970975,0.29999978859677606,0.0215014682836139
