system,fault,mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
OB,cpu,stream,0.5,qarca_no_incident_train,25,0.7995795093795094,0.11423586462648441,0.8216,0.72,0.8320000000000001,0.88,0.09933333333333333,38.75699640251696,0.490204081632653,0.022847172925296883
OB,cpu,stream,0.5,qarca_no_quality,25,0.7776634920634921,0.10641742419892265,0.7896,0.7040000000000001,0.804,0.8320000000000001,0.12309803921568628,38.57615760038607,0.490204081632653,0.021283484839784532
OB,cpu,stream,0.5,qarca_no_quality_original,25,0.7593766677766678,0.10750511070798477,0.7672,0.688,0.7759999999999999,0.804,0.15274509803921568,38.54501320421696,0.490204081632653,0.021501022141596954
OB,cpu,stream,0.5,qarca_original_train,25,0.42653891272126565,0.11214311887761902,0.43200000000000005,0.28800000000000003,0.41600000000000004,0.596,0.36184313725490197,38.79087720043026,0.490204081632653,0.022428623775523803
OB,cpu,stream,0.5,qarca_quality_only,25,0.2483981906981907,0.06560754544332259,0.2624,0.052000000000000005,0.26,0.49200000000000005,0.41674509803921567,38.33461760007776,0.490204081632653,0.013121509088664518
OB,cpu,stream,0.5,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,38.18612200161442,0.490204081632653,0.0
OB,delay,burst,0.1,baro,25,0.9420000000000001,0.14977761292440647,0.9768000000000001,0.884,1.0,1.0,0.009666666666666664,79.26355319819413,0.10000545956149268,0.029955522584881294
OB,delay,burst,0.1,median_shift,25,0.7691333333333332,0.2911531670215295,0.868,0.616,0.92,1.0,0.05499999999999998,14.661632398609072,0.10000545956149268,0.0582306334043059
OB,delay,burst,0.1,nsigma,25,0.9620000000000001,0.13171939872319488,0.9848,0.924,1.0,1.0,0.006333333333333331,63.541662798728794,0.10000545956149268,0.026343879744638976
OB,delay,burst,0.1,qarca,25,0.8926666666666666,0.18561272406096874,0.9408,0.816,0.96,1.0,0.02466666666666666,55.843162399716675,0.10000545956149268,0.03712254481219375
OB,delay,burst,0.1,qarca_no_incident_train,25,0.9023333333333333,0.21152444916035737,0.9448000000000001,0.836,0.9640000000000001,1.0,0.022999999999999993,55.58300520456396,0.10000545956149268,0.04230488983207147
OB,delay,burst,0.1,qarca_no_quality,25,0.9283333333333332,0.19623186398861028,0.96,0.8759999999999999,0.9640000000000001,1.0,0.016666666666666663,55.457370799034834,0.10000545956149268,0.03924637279772206
OB,delay,burst,0.1,qarca_no_quality_original,25,0.9179999999999999,0.19836834424877373,0.9551999999999999,0.856,0.96,1.0,0.01866666666666666,55.43816639878787,0.10000545956149268,0.03967366884975475
OB,delay,burst,0.1,qarca_original_train,25,0.7544444444444445,0.15939217106724798,0.8528,0.592,0.904,0.988,0.06233333333333332,55.663821201305836,0.10000545956149268,0.031878434213449595
OB,delay,burst,0.1,qarca_quality_only,25,0.2280031746031746,0.0688961068012984,0.2144,0.044000000000000004,0.188,0.42,0.4333333333333333,55.16486479877494,0.10000545956149268,0.013779221360259681
OB,delay,burst,0.1,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.75,55.04114880040288,0.10000545956149268,0.0
OB,delay,burst,0.3,baro,25,0.9012444444444444,0.11222420240277164,0.9528,0.816,0.992,0.996,0.02066666666666666,80.50480720051564,0.29997119210105994,0.02244484048055433
OB,delay,burst,0.3,median_shift,25,0.723,0.24861049037787195,0.86,0.512,0.972,1.0,0.05833333333333331,15.050744800595567,0.29997119210105994,0.049722098075574386
OB,delay,burst,0.3,nsigma,25,0.9573333333333334,0.12370439676009004,0.9823999999999999,0.9159999999999999,1.0,1.0,0.007333333333333331,66.16841360228136,0.29997119210105994,0.02474087935201801
OB,delay,burst,0.3,qarca,25,0.8335380952380953,0.15416979803156805,0.9016,0.72,0.9440000000000001,0.9840000000000001,0.041999999999999996,56.65124919638038,0.29997119210105994,0.03083395960631361
OB,delay,burst,0.3,qarca_no_incident_train,25,0.877,0.18882678717691395,0.9392,0.78,0.988,1.0,0.025333333333333322,56.41107719973661,0.29997119210105994,0.03776535743538279
OB,delay,burst,0.3,qarca_no_quality,25,0.912,0.18443607745413226,0.9584,0.836,0.9840000000000001,1.0,0.01733333333333333,56.23700759909116,0.29997119210105994,0.03688721549082645
OB,delay,burst,0.3,qarca_no_quality_original,25,0.9109999999999999,0.17912984117672853,0.9576,0.836,0.988,1.0,0.01766666666666666,56.22599719837308,0.29997119210105994,0.03582596823534571
OB,delay,burst,0.3,qarca_original_train,25,0.636868253968254,0.13194749763742789,0.7368000000000001,0.44799999999999995,0.804,0.9279999999999999,0.11433333333333331,56.426440400769934,0.29997119210105994,0.026389499527485576
OB,delay,burst,0.3,qarca_quality_only,25,0.2784497835497835,0.07070422228264409,0.2848,0.084,0.28400000000000003,0.496,0.3803333333333333,55.99326639971696,0.29997119210105994,0.014140844456528818
OB,delay,burst,0.3,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.75,55.88358879927546,0.29997119210105994,0.0
OB,delay,burst,0.5,baro,25,0.7787005772005772,0.10679481009114083,0.8352,0.66,0.884,0.904,0.092,73.50638079899363,0.4999948889211558,0.021358962018228168
